date,year,eventLabel,typeLabel,category,impact,source
1962-01-01,1962,Evento relacionado a Crise dos Mísseis Cu...,Crise Nuclear (Relacionado),Crise Nuclear (Relacionado),Baixo,Historical_Dataset_Comprehensive
1963-01-01,1963,Evento relacionado a Crise dos Mísseis Cu...,Crise Nuclear (Relacionado),Crise Nuclear (Relacionado),Baixo,Historical_Dataset_Comprehensive
1966-01-01,1966,Guerra dos Seis Dias,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
1968-01-01,1968,Consequências de Guerra dos Seis Dias...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1966-01-01,1966,Evento relacionado a Guerra dos Seis Dias...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1965-01-01,1965,Evento relacionado a Guerra dos Seis Dias...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1968-01-01,1968,Evento relacionado a Guerra dos Seis Dias...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1970-01-01,1970,Evento relacionado a Guerra dos Seis Dias...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1972-01-01,1972,Guerra do Yom Kippur,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
1972-01-01,1972,Consequências de Guerra do Yom Kippur...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1970-01-01,1970,Evento relacionado a Guerra do Yom Kippur...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1971-01-01,1971,Evento relacionado a Guerra do Yom Kippur...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1973-01-01,1973,Evento relacionado a Guerra do Yom Kippur...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1976-01-01,1976,Evento relacionado a Guerra do Yom Kippur...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1979-01-01,1979,Revolução Iraniana,Revolução Política,Revolução Política,Alto,Historical_Dataset_Comprehensive
1978-01-01,1978,Consequências de Revolução Iraniana...,Revolução Política (Consequências),Revolução Política (Consequências),Médio,Historical_Dataset_Comprehensive
1978-01-01,1978,Evento relacionado a Revolução Iraniana...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1977-01-01,1977,Evento relacionado a Revolução Iraniana...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1979-01-01,1979,Evento relacionado a Revolução Iraniana...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1981-01-01,1981,Evento relacionado a Revolução Iraniana...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1980-01-01,1980,Guerra Irã-Iraque,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
1979-01-01,1979,Consequências de Guerra Irã-Iraque...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1979-01-01,1979,Evento relacionado a Guerra Irã-Iraque...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1980-01-01,1980,Evento relacionado a Guerra Irã-Iraque...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1981-01-01,1981,Evento relacionado a Guerra Irã-Iraque...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1983-01-01,1983,Guerra das Malvinas,Conflito Internacional,Conflito Internacional,Médio,Historical_Dataset_Comprehensive
1979-01-01,1979,Evento relacionado a Guerra das Malvinas...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1981-01-01,1981,Evento relacionado a Guerra das Malvinas...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1984-01-01,1984,Evento relacionado a Guerra das Malvinas...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1985-01-01,1985,Evento relacionado a Guerra das Malvinas...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,Guerra do Golfo,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
1990-01-01,1990,Consequências de Guerra do Golfo...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1989-01-01,1989,Evento relacionado a Guerra do Golfo...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,Evento relacionado a Guerra do Golfo...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1992-01-01,1992,Evento relacionado a Guerra do Golfo...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1993-01-01,1993,Evento relacionado a Guerra do Golfo...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,Dissolução da União Soviética,Mudança Geopolítica,Mudança Geopolítica,Alto,Historical_Dataset_Comprehensive
1992-01-01,1992,Consequências de Dissolução da União Soviética...,Mudança Geopolítica (Consequências),Mudança Geopolítica (Consequências),Médio,Historical_Dataset_Comprehensive
1990-01-01,1990,Evento relacionado a Dissolução da União ...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1992-01-01,1992,Evento relacionado a Dissolução da União ...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1995-01-01,1995,Genocídio em Ruanda,Crise Humanitária,Crise Humanitária,Alto,Historical_Dataset_Comprehensive
1994-01-01,1994,Consequências de Genocídio em Ruanda...,Crise Humanitária (Consequências),Crise Humanitária (Consequências),Médio,Historical_Dataset_Comprehensive
1993-01-01,1993,Evento relacionado a Genocídio em Ruanda...,Crise Humanitária (Relacionado),Crise Humanitária (Relacionado),Baixo,Historical_Dataset_Comprehensive
1992-01-01,1992,Evento relacionado a Genocídio em Ruanda...,Crise Humanitária (Relacionado),Crise Humanitária (Relacionado),Baixo,Historical_Dataset_Comprehensive
1995-01-01,1995,Evento relacionado a Genocídio em Ruanda...,Crise Humanitária (Relacionado),Crise Humanitária (Relacionado),Baixo,Historical_Dataset_Comprehensive
1994-01-01,1994,Acordos de Dayton,Paz Internacional,Paz Internacional,Médio,Historical_Dataset_Comprehensive
1994-01-01,1994,Evento relacionado a Acordos de Dayton...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1993-01-01,1993,Evento relacionado a Acordos de Dayton...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1996-01-01,1996,Evento relacionado a Acordos de Dayton...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1997-01-01,1997,Evento relacionado a Acordos de Dayton...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1998-01-01,1998,Guerra do Kosovo,Conflito Internacional,Conflito Internacional,Médio,Historical_Dataset_Comprehensive
1997-01-01,1997,Evento relacionado a Guerra do Kosovo...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1998-01-01,1998,Evento relacionado a Guerra do Kosovo...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2001-01-01,2001,Evento relacionado a Guerra do Kosovo...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2002-01-01,2002,Evento relacionado a Guerra do Kosovo...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2001-01-01,2001,Ataques de 11 de Setembro,Terrorismo Global,Terrorismo Global,Alto,Historical_Dataset_Comprehensive
2001-01-01,2001,Consequências de Ataques de 11 de Setembro...,Terrorismo Global (Consequências),Terrorismo Global (Consequências),Médio,Historical_Dataset_Comprehensive
2000-01-01,2000,Evento relacionado a Ataques de 11 de Set...,Terrorismo Global (Relacionado),Terrorismo Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2001-01-01,2001,Evento relacionado a Ataques de 11 de Set...,Terrorismo Global (Relacionado),Terrorismo Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2002-01-01,2002,Evento relacionado a Ataques de 11 de Set...,Terrorismo Global (Relacionado),Terrorismo Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2003-01-01,2003,Invasão do Iraque,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
2002-01-01,2002,Consequências de Invasão do Iraque...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
2002-01-01,2002,Evento relacionado a Invasão do Iraque...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2003-01-01,2003,Evento relacionado a Invasão do Iraque...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2005-01-01,2005,Evento relacionado a Invasão do Iraque...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2010-01-01,2010,Primavera Árabe,Revoluções Regionais,Revoluções Regionais,Alto,Historical_Dataset_Comprehensive
2011-01-01,2011,Consequências de Primavera Árabe...,Revoluções Regionais (Consequências),Revoluções Regionais (Consequências),Médio,Historical_Dataset_Comprehensive
2009-01-01,2009,Evento relacionado a Primavera Árabe...,Revoluções Regionais (Relacionado),Revoluções Regionais (Relacionado),Baixo,Historical_Dataset_Comprehensive
2011-01-01,2011,Evento relacionado a Primavera Árabe...,Revoluções Regionais (Relacionado),Revoluções Regionais (Relacionado),Baixo,Historical_Dataset_Comprehensive
2012-01-01,2012,Evento relacionado a Primavera Árabe...,Revoluções Regionais (Relacionado),Revoluções Regionais (Relacionado),Baixo,Historical_Dataset_Comprehensive
2013-01-01,2013,Crise da Crimeia,Conflito Internacional,Conflito Internacional,Alto,Historical_Dataset_Comprehensive
2014-01-01,2014,Consequências de Crise da Crimeia...,Conflito Internacional (Consequências),Conflito Internacional (Consequências),Médio,Historical_Dataset_Comprehensive
2011-01-01,2011,Evento relacionado a Crise da Crimeia...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2013-01-01,2013,Evento relacionado a Crise da Crimeia...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2015-01-01,2015,Evento relacionado a Crise da Crimeia...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2016-01-01,2016,Evento relacionado a Crise da Crimeia...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2019-01-01,2019,Pandemia COVID-19,Crise Global,Crise Global,Alto,Historical_Dataset_Comprehensive
2019-01-01,2019,Consequências de Pandemia COVID-19...,Crise Global (Consequências),Crise Global (Consequências),Médio,Historical_Dataset_Comprehensive
2019-01-01,2019,Evento relacionado a Pandemia COVID-19...,Crise Global (Relacionado),Crise Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2018-01-01,2018,Evento relacionado a Pandemia COVID-19...,Crise Global (Relacionado),Crise Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2022-01-01,2022,Evento relacionado a Pandemia COVID-19...,Crise Global (Relacionado),Crise Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2023-01-01,2023,Invasão da Ucrânia,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
2021-01-01,2021,Consequências de Invasão da Ucrânia...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
2021-01-01,2021,Evento relacionado a Invasão da Ucrânia...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2022-01-01,2022,Evento relacionado a Invasão da Ucrânia...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2024-01-01,2024,Evento relacionado a Invasão da Ucrânia...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1928-01-01,1928,Quebra da Bolsa de Nova York,Crise Financeira,Crise Financeira,Alto,Historical_Dataset_Comprehensive
1929-01-01,1929,Consequências de Quebra da Bolsa de Nova York...,Crise Financeira (Consequências),Crise Financeira (Consequências),Médio,Historical_Dataset_Comprehensive
1928-01-01,1928,Evento relacionado a Quebra da Bolsa de N...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1927-01-01,1927,Evento relacionado a Quebra da Bolsa de N...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1931-01-01,1931,Evento relacionado a Quebra da Bolsa de N...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1929-01-01,1929,Grande Depressão,Crise Econômica Global,Crise Econômica Global,Alto,Historical_Dataset_Comprehensive
1931-01-01,1931,Consequências de Grande Depressão...,Crise Econômica Global (Consequências),Crise Econômica Global (Consequências),Médio,Historical_Dataset_Comprehensive
1927-01-01,1927,Evento relacionado a Grande Depressão...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1928-01-01,1928,Evento relacionado a Grande Depressão...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1932-01-01,1932,Evento relacionado a Grande Depressão...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1933-01-01,1933,Evento relacionado a Grande Depressão...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1973-01-01,1973,Crise do Petróleo,Crise Energética,Crise Energética,Alto,Historical_Dataset_Comprehensive
1973-01-01,1973,Consequências de Crise do Petróleo...,Crise Energética (Consequências),Crise Energética (Consequências),Médio,Historical_Dataset_Comprehensive
1972-01-01,1972,Evento relacionado a Crise do Petróleo...,Crise Energética (Relacionado),Crise Energética (Relacionado),Baixo,Historical_Dataset_Comprehensive
1975-01-01,1975,Evento relacionado a Crise do Petróleo...,Crise Energética (Relacionado),Crise Energética (Relacionado),Baixo,Historical_Dataset_Comprehensive
1981-01-01,1981,Crise da Dívida Latinoamericana,Crise Econômica Regional,Crise Econômica Regional,Alto,Historical_Dataset_Comprehensive
1983-01-01,1983,Consequências de Crise da Dívida Latinoamerican...,Crise Econômica Regional (Consequências),Crise Econômica Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1980-01-01,1980,Evento relacionado a Crise da Dívida Lati...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1982-01-01,1982,Evento relacionado a Crise da Dívida Lati...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1985-01-01,1985,Evento relacionado a Crise da Dívida Lati...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1988-01-01,1988,Quarta-feira Negra,Crise Financeira,Crise Financeira,Médio,Historical_Dataset_Comprehensive
1986-01-01,1986,Evento relacionado a Quarta-feira Negra...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1987-01-01,1987,Evento relacionado a Quarta-feira Negra...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1988-01-01,1988,Evento relacionado a Quarta-feira Negra...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,Evento relacionado a Quarta-feira Negra...,Crise Financeira (Relacionado),Crise Financeira (Relacionado),Baixo,Historical_Dataset_Comprehensive
1996-01-01,1996,Crise Asiática,Crise Financeira Regional,Crise Financeira Regional,Alto,Historical_Dataset_Comprehensive
1997-01-01,1997,Consequências de Crise Asiática...,Crise Financeira Regional (Consequências),Crise Financeira Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1995-01-01,1995,Evento relacionado a Crise Asiática...,Crise Financeira Regional (Relacionado),Crise Financeira Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1997-01-01,1997,Evento relacionado a Crise Asiática...,Crise Financeira Regional (Relacionado),Crise Financeira Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1998-01-01,1998,Evento relacionado a Crise Asiática...,Crise Financeira Regional (Relacionado),Crise Financeira Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2000-01-01,2000,Evento relacionado a Crise Asiática...,Crise Financeira Regional (Relacionado),Crise Financeira Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1999-01-01,1999,Bolha da Internet,Crise Tecnológica,Crise Tecnológica,Médio,Historical_Dataset_Comprehensive
1997-01-01,1997,Evento relacionado a Bolha da Internet...,Crise Tecnológica (Relacionado),Crise Tecnológica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1999-01-01,1999,Evento relacionado a Bolha da Internet...,Crise Tecnológica (Relacionado),Crise Tecnológica (Relacionado),Baixo,Historical_Dataset_Comprehensive
2001-01-01,2001,Evento relacionado a Bolha da Internet...,Crise Tecnológica (Relacionado),Crise Tecnológica (Relacionado),Baixo,Historical_Dataset_Comprehensive
2008-01-01,2008,Crise Financeira Global,Crise Financeira Global,Crise Financeira Global,Alto,Historical_Dataset_Comprehensive
2008-01-01,2008,Consequências de Crise Financeira Global...,Crise Financeira Global (Consequências),Crise Financeira Global (Consequências),Médio,Historical_Dataset_Comprehensive
2006-01-01,2006,Evento relacionado a Crise Financeira Glo...,Crise Financeira Global (Relacionado),Crise Financeira Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2007-01-01,2007,Evento relacionado a Crise Financeira Glo...,Crise Financeira Global (Relacionado),Crise Financeira Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2009-01-01,2009,Evento relacionado a Crise Financeira Glo...,Crise Financeira Global (Relacionado),Crise Financeira Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2011-01-01,2011,Evento relacionado a Crise Financeira Glo...,Crise Financeira Global (Relacionado),Crise Financeira Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2011-01-01,2011,Crise da Dívida Europeia,Crise Econômica Regional,Crise Econômica Regional,Alto,Historical_Dataset_Comprehensive
2009-01-01,2009,Consequências de Crise da Dívida Europeia...,Crise Econômica Regional (Consequências),Crise Econômica Regional (Consequências),Médio,Historical_Dataset_Comprehensive
2009-01-01,2009,Evento relacionado a Crise da Dívida Euro...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2010-01-01,2010,Evento relacionado a Crise da Dívida Euro...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2012-01-01,2012,Evento relacionado a Crise da Dívida Euro...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2013-01-01,2013,Evento relacionado a Crise da Dívida Euro...,Crise Econômica Regional (Relacionado),Crise Econômica Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
2021-01-01,2021,Recessão COVID-19,Crise Econômica Global,Crise Econômica Global,Alto,Historical_Dataset_Comprehensive
2020-01-01,2020,Consequências de Recessão COVID-19...,Crise Econômica Global (Consequências),Crise Econômica Global (Consequências),Médio,Historical_Dataset_Comprehensive
2017-01-01,2017,Evento relacionado a Recessão COVID-19...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2018-01-01,2018,Evento relacionado a Recessão COVID-19...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
2021-01-01,2021,Evento relacionado a Recessão COVID-19...,Crise Econômica Global (Relacionado),Crise Econômica Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1903-01-01,1903,Primeiro voo dos irmãos Wright,Avanço Aeronáutico,Avanço Aeronáutico,Alto,Historical_Dataset_Comprehensive
1902-01-01,1902,Consequências de Primeiro voo dos irmãos Wright...,Avanço Aeronáutico (Consequências),Avanço Aeronáutico (Consequências),Médio,Historical_Dataset_Comprehensive
1902-01-01,1902,Evento relacionado a Primeiro voo dos irm...,Avanço Aeronáutico (Relacionado),Avanço Aeronáutico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1901-01-01,1901,Evento relacionado a Primeiro voo dos irm...,Avanço Aeronáutico (Relacionado),Avanço Aeronáutico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1903-01-01,1903,Evento relacionado a Primeiro voo dos irm...,Avanço Aeronáutico (Relacionado),Avanço Aeronáutico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1906-01-01,1906,Evento relacionado a Primeiro voo dos irm...,Avanço Aeronáutico (Relacionado),Avanço Aeronáutico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1905-01-01,1905,Teoria da Relatividade (Einstein),Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
1905-01-01,1905,Consequências de Teoria da Relatividade (Einste...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
1903-01-01,1903,Evento relacionado a Teoria da Relativida...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1904-01-01,1904,Evento relacionado a Teoria da Relativida...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1906-01-01,1906,Evento relacionado a Teoria da Relativida...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1907-01-01,1907,Evento relacionado a Teoria da Relativida...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
